grid;level1;level2;level3;level4;level5;activitySum;activityCategory
661:312;1;19.5;40;52.2;65.3;0;0
663:318;1;19.5;40;52.2;65.3;48;3
663:319;1;19.5;40;52.2;65.3;46;3
663:320;1;19.5;40;52.2;65.3;9;1
663:321;1;19.5;40;52.2;65.3;22;2
663:322;1;19.5;40;52.2;65.3;51;3
663:323;1;19.5;40;52.2;65.3;33;2
663:324;1;19.5;40;52.2;65.3;106;5
663:325;1;19.5;40;52.2;65.3;67;5
663:326;1;19.5;40;52.2;65.3;57;4
663:327;1;51.8;104.6;129.2;154.9;123;3
663:328;1;19.5;40;52.2;65.3;68;5
663:329;1;19.5;40;52.2;65.3;82;5
663:330;1;51.8;104.6;129.2;154.9;160;5
663:331;1;19.5;40;52.2;65.3;34;2
664:314;1;19.5;40;52.2;65.3;0;0
664:316;1;51.8;104.6;129.2;154.9;53;2
664:317;1;51.8;104.6;129.2;154.9;89;2
664:318;1;73.4;147.9;181;215.1;232;5
664:319;1;73.4;147.9;181;215.1;236;5
664:320;1;51.8;104.6;129.2;154.9;102;2
664:321;1;51.8;104.6;129.2;154.9;163;5
664:322;1;73.4;147.9;181;215.1;160;3
664:323;1;73.4;147.9;181;215.1;261;5
664:324;1;85.9;172.8;210.8;249.8;257;5
664:325;1;51.8;104.6;129.2;154.9;136;4
664:326;1;51.8;104.6;129.2;154.9;169;5
664:327;1;93.2;187.4;228.3;270.1;371;5
664:328;1;108.5;217.9;264.7;312.4;424;5
664:329;1;93.2;187.4;228.3;270.1;281;5
664:330;1;93.2;187.4;228.3;270.1;287;5
664:331;1;73.4;147.9;181;215.1;218;5
664:332;1;51.8;104.6;129.2;154.9;177;5
664:333;1;51.8;104.6;129.2;154.9;165;5
664:334;1;19.5;40;52.2;65.3;94;5
664:335;1;51.8;104.6;129.2;154.9;194;5
665:309;1;19.5;40;52.2;65.3;0;0
665:310;1;51.8;104.6;129.2;154.9;156;5
665:311;1;19.5;40;52.2;65.3;0;0
665:312;1;19.5;40;52.2;65.3;0;0
665:313;1;19.5;40;52.2;65.3;30;2
665:314;1;51.8;104.6;129.2;154.9;63;2
665:315;1;51.8;104.6;129.2;154.9;114;3
665:316;1;73.4;147.9;181;215.1;119;2
665:317;1;51.8;104.6;129.2;154.9;85;2
665:318;1;19.5;40;52.2;65.3;43;3
665:319;1;51.8;104.6;129.2;154.9;117;3
665:320;1;73.4;147.9;181;215.1;193;4
665:321;1;73.4;147.9;181;215.1;168;3
665:322;1;51.8;104.6;129.2;154.9;93;2
665:323;1;73.4;147.9;181;215.1;191;4
665:324;1;98.4;197.8;240.6;284.4;297;5
665:325;1;93.2;187.4;228.3;270.1;234;4
665:326;1;73.4;147.9;181;215.1;272;5
665:327;1;110.9;222.8;270.4;319.1;333;5
665:328;1;108.5;217.9;264.7;312.4;320;5
665:329;1;110.9;222.8;270.4;319.1;354;5
665:330;1;110.9;222.8;270.4;319.1;334;5
665:331;1;110.9;222.8;270.4;319.1;326;5
665:332;1;105.7;212.4;258.1;304.7;323;5
